Environment,Algorithm,Mean Return,Std Return,N Seeds
Acrobot-v1,PPO (Correct Truncation),-84.67672404862256,1.5078736536923434,5
Acrobot-v1,PPO (Standard),-84.77436029076812,2.136677191740143,5
CartPole-v1,PPO (Correct Truncation),493.92201908420884,4.40577825075207,5
CartPole-v1,PPO (Standard),489.88544377793716,5.636108398881526,5
HalfCheetah-v4,PPO (Correct Truncation),1009.1834738779316,156.3273843749474,5
HalfCheetah-v4,PPO (Standard),915.4658962979669,91.85531705064803,5
Humanoid-v4,PPO (Correct Truncation),527.7213661083092,46.270680930298965,5
Humanoid-v4,PPO (Standard),527.7213661083092,46.270680930298965,5
MountainCarContinuous-v0,PPO (Correct Truncation),75.01819447182007,42.45554233166212,5
MountainCarContinuous-v0,PPO (Standard),94.06369732834364,0.07615071315639278,5
